FIELD	QMC	ST	DATE	TIME	var_field
52681756	7	80	30.05.2025	09:15:00	52681,756
52680253	7	80	30.05.2025	09:15:06	52680,253
52681287	8	80	30.05.2025	09:15:12	52681,287
52671008	7	80	30.05.2025	09:15:18	52671,008
52668198	7	80	30.05.2025	09:15:24	52668,198
52675006	7	80	30.05.2025	09:15:30	52675,006
52678969	7	80	30.05.2025	09:15:36	52678,969
52678866	7	80	30.05.2025	09:15:42	52678,866
52679728	8	80	30.05.2025	09:15:48	52679,728
52670825	7	80	30.05.2025	09:15:54	52670,825
52668289	7	80	30.05.2025	09:16:00	52668,289
52668329	7	80	30.05.2025	09:16:06	52668,329
52663681	7	80	30.05.2025	09:16:12	52663,681
52658415	8	80	30.05.2025	09:16:18	52658,415
52659840	8	80	30.05.2025	09:16:24	52659,84
52660533	8	80	30.05.2025	09:16:30	52660,533
52661456	7	80	30.05.2025	09:16:36	52661,456
52662378	8	80	30.05.2025	09:16:42	52662,378
52661741	7	80	30.05.2025	09:16:48	52661,741
52664307	7	80	30.05.2025	09:16:54	52664,307
52662098	7	80	30.05.2025	09:17:00	52662,098
52663141	8	80	30.05.2025	09:17:06	52663,141
52676821	7	80	30.05.2025	09:17:12	52676,821
52676913	7	80	30.05.2025	09:17:18	52676,913
52677608	7	80	30.05.2025	09:17:24	52677,608
52679959	7	80	30.05.2025	09:17:30	52679,959
52683437	7	80	30.05.2025	09:17:36	52683,437
52679851	7	80	30.05.2025	09:17:42	52679,851
52683724	8	80	30.05.2025	09:17:48	52683,724
52683792	7	80	30.05.2025	09:17:54	52683,792
52682883	7	80	30.05.2025	09:18:00	52682,883
52670497	7	80	30.05.2025	09:18:06	52670,497
52671474	7	80	30.05.2025	09:18:12	52671,474
52670200	7	80	30.05.2025	09:18:18	52670,2
52669791	7	80	30.05.2025	09:18:24	52669,791
52662942	8	80	30.05.2025	09:18:30	52662,942
52665232	7	80	30.05.2025	09:18:36	52665,232
52671944	8	80	30.05.2025	09:18:42	52671,944
52665913	7	80	30.05.2025	09:18:48	52665,913
52666189	7	80	30.05.2025	09:18:54	52666,189
52663847	8	80	30.05.2025	09:19:00	52663,847
52664593	7	80	30.05.2025	09:19:06	52664,593
52665779	7	80	30.05.2025	09:19:12	52665,779
52668024	7	80	30.05.2025	09:19:18	52668,024
52664423	8	80	30.05.2025	09:19:24	52664,423
52663172	7	80	30.05.2025	09:19:30	52663,172
52661993	7	80	30.05.2025	09:19:36	52661,993
52667554	7	80	30.05.2025	09:19:42	52667,554
52668979	7	80	30.05.2025	09:19:48	52668,979
52666719	7	80	30.05.2025	09:19:54	52666,719
52665296	7	80	30.05.2025	09:20:00	52665,296
52664698	7	80	30.05.2025	09:20:06	52664,698
52665535	7	80	30.05.2025	09:20:12	52665,535
52668570	7	80	30.05.2025	09:20:18	52668,57
52669170	7	80	30.05.2025	09:20:24	52669,17
52674693	7	80	30.05.2025	09:20:30	52674,693
52675179	7	80	30.05.2025	09:20:36	52675,179
52673853	8	80	30.05.2025	09:20:42	52673,853
52673292	7	80	30.05.2025	09:20:48	52673,292
52675165	7	80	30.05.2025	09:20:54	52675,165
52676061	8	80	30.05.2025	09:21:00	52676,061
52674172	7	80	30.05.2025	09:21:06	52674,172
52669701	7	80	30.05.2025	09:21:12	52669,701
52667085	7	80	30.05.2025	09:21:18	52667,085
52665714	7	80	30.05.2025	09:21:24	52665,714
52664458	8	80	30.05.2025	09:21:30	52664,458
52665361	7	80	30.05.2025	09:21:36	52665,361
52667109	7	80	30.05.2025	09:21:42	52667,109
52670108	7	80	30.05.2025	09:21:48	52670,108
52671240	7	80	30.05.2025	09:21:54	52671,24
52671059	7	80	30.05.2025	09:22:00	52671,059
52672389	7	80	30.05.2025	09:22:06	52672,389
52671510	7	80	30.05.2025	09:22:12	52671,51
