Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
58	58	13,382	364463.9527	6178545.303	11:52:29	02.06.2025	52856837	52852168
58	58	13,48	364464.0021	6178545.218	11:52:29	02.06.2025	52856121	52852189
58	58	13,578	364464.0515	6178545.134	11:52:29	02.06.2025	52855452	52852272
58	58	13,676	364464.1014	6178545.048	11:52:29	02.06.2025	52855815	52852027
58	58	13,775	364464.1509	6178544.964	11:52:29	02.06.2025	52856401	52852440
58	58	13,873	364464.2003	6178544.879	11:52:29	02.06.2025	52856391	52852290
58	58	13,971	364464.2497	6178544.794	11:52:30	02.06.2025	52856686	52852677
58	58	14,069	364463.297	6178546.418	11:52:30	02.06.2025	52858156	52852515
58	58	14,167	364463.3464	6178546.333	11:52:30	02.06.2025	52860755	52852599
58	58	14,265	364463.3959	6178546.249	11:52:30	02.06.2025	52862496	52852823
58	58	14,363	364463.4453	6178546.164	11:52:30	02.06.2025	52861608	52852745
58	58	14,461	364463.4947	6178546.079	11:52:30	02.06.2025	52860150	52852799
58	58	14,559	364463.5442	6178545.995	11:52:30	02.06.2025	52858703	52852776
58	58	14,657	364463.5936	6178545.91	11:52:30	02.06.2025	52857409	52852595
58	58	14,755	364463.643	6178545.826	11:52:30	02.06.2025	52856213	52852947
58	58	14,853	364463.6924	6178545.741	11:52:30	02.06.2025	52854953	52853027
58	58	14,951	364463.7419	6178545.656	11:52:31	02.06.2025	52854091	52853473
58	58	15,049	364462.7897	6178547.279	11:52:31	02.06.2025	52853128	52853176
58	58	15,147	364462.8391	6178547.194	11:52:31	02.06.2025	52852212	52852269
58	58	15,245	364462.8885	6178547.11	11:52:31	02.06.2025	52851075	52851162
58	58	15,343	364462.938	6178547.025	11:52:31	02.06.2025	52849675	52851925
58	58	15,441	364462.9874	6178546.941	11:52:31	02.06.2025	52848206	52852017
58	58	15,539	364463.0368	6178546.856	11:52:31	02.06.2025	52846285	52852204
58	58	15,637	364463.0862	6178546.771	11:52:31	02.06.2025	52844245	52852272
58	58	15,735	364463.1357	6178546.687	11:52:31	02.06.2025	52843920	52852372
