FIELD	QMC	ST	DATE	TIME	var_field
52637811	7	80	02.06.2025	09:03:33	52637,811
52637485	7	80	02.06.2025	09:03:36	52637,485
52638700	7	80	02.06.2025	09:03:39	52638,7
52639294	7	80	02.06.2025	09:03:42	52639,294
52640137	7	80	02.06.2025	09:03:45	52640,137
52638965	7	80	02.06.2025	09:03:48	52638,965
52639630	7	80	02.06.2025	09:03:51	52639,63
52642800	7	80	02.06.2025	09:03:54	52642,8
52643703	7	80	02.06.2025	09:03:57	52643,703
52645213	7	80	02.06.2025	09:04:00	52645,213
52644662	7	80	02.06.2025	09:04:03	52644,662
52647788	7	80	02.06.2025	09:04:06	52647,788
52649393	6	80	02.06.2025	09:04:09	52649,393
52650345	7	80	02.06.2025	09:04:12	52650,345
52651925	7	80	02.06.2025	09:04:15	52651,925
52651317	7	80	02.06.2025	09:04:18	52651,317
52649435	7	80	02.06.2025	09:04:21	52649,435
52648278	7	80	02.06.2025	09:04:24	52648,278
52650516	7	80	02.06.2025	09:04:27	52650,516
52650170	7	80	02.06.2025	09:04:30	52650,17
52648866	7	80	02.06.2025	09:04:33	52648,866
52647542	7	80	02.06.2025	09:04:36	52647,542
52643696	7	80	02.06.2025	09:04:39	52643,696
52641253	7	80	02.06.2025	09:04:42	52641,253
52642038	7	80	02.06.2025	09:04:45	52642,038
52642413	7	80	02.06.2025	09:04:48	52642,413
52643204	7	80	02.06.2025	09:04:51	52643,204
52642681	7	80	02.06.2025	09:04:54	52642,681
52642444	7	80	02.06.2025	09:04:57	52642,444
52641897	7	80	02.06.2025	09:05:00	52641,897
52640121	7	80	02.06.2025	09:05:03	52640,121
52638767	7	80	02.06.2025	09:05:06	52638,767
52639238	7	80	02.06.2025	09:05:09	52639,238
52639090	7	80	02.06.2025	09:05:12	52639,09
52639183	7	80	02.06.2025	09:05:15	52639,183
52639626	7	80	02.06.2025	09:05:18	52639,626
52640687	7	80	02.06.2025	09:05:21	52640,687
52639432	7	80	02.06.2025	09:05:24	52639,432
52639786	7	80	02.06.2025	09:05:27	52639,786
52638841	6	80	02.06.2025	09:05:30	52638,841
52638421	7	80	02.06.2025	09:05:33	52638,421
52638489	7	80	02.06.2025	09:05:36	52638,489
52639313	7	80	02.06.2025	09:05:39	52639,313
52639656	7	80	02.06.2025	09:05:42	52639,656
52639140	6	80	02.06.2025	09:05:45	52639,14
52639953	7	80	02.06.2025	09:05:48	52639,953
52641761	7	80	02.06.2025	09:05:51	52641,761
52644104	7	80	02.06.2025	09:05:54	52644,104
52643395	7	80	02.06.2025	09:05:57	52643,395
52639977	7	80	02.06.2025	09:06:00	52639,977
52639236	7	80	02.06.2025	09:06:03	52639,236
52639751	7	80	02.06.2025	09:06:06	52639,751
52638408	7	80	02.06.2025	09:06:09	52638,408
52637202	7	80	02.06.2025	09:06:12	52637,202
52638519	7	80	02.06.2025	09:06:15	52638,519
52639530	7	80	02.06.2025	09:06:18	52639,53
52642579	7	80	02.06.2025	09:06:21	52642,579
52643849	7	80	02.06.2025	09:06:24	52643,849
52644987	7	80	02.06.2025	09:06:27	52644,987
52646602	7	80	02.06.2025	09:06:30	52646,602
52644650	7	80	02.06.2025	09:06:33	52644,65
